20/08/2535,rpp,3.86,1630.96
21/08/2535,rpp,9.45,1637.51
22/08/2535,rpp,5.67,1640.33
23/08/2535,rpp,4.88,1643.14
24/08/2535,rpp,9.49,1649.73
25/08/2535,rpp,12.56,1659.16
26/08/2535,rpp,15.52,1671.46
27/08/2535,rpp,78.63,1747.36
28/08/2535,rpp,50.93,1796.39
29/08/2535,rpp,34.31,1827.18
30/08/2535,rpp,35.81,1861.28
31/08/2535,rpp,38.52,1897.77
01/09/2535,rpp,24.39,1918.22
02/09/2535,rpp,25.05,1939.82
03/09/2535,rpp,20.11,1954.30
04/09/2535,rpp,16.47,1966.75
05/09/2535,rpp,28.48,1992.85
06/09/2535,rpp,17.58,2008.60
07/09/2535,rpp,15.86,2020.19
08/09/2535,rpp,10.11,2026.53
09/09/2535,rpp,20.50,2043.48
10/09/2535,rpp,5.36,2046.67
11/09/2535,rpp,10.10,2054.12
12/09/2535,rpp,6.93,2058.39
13/09/2535,rpp,4.86,2061.59
14/09/2535,rpp,8.81,2065.86
15/09/2535,rpp,8.02,2069.07
16/09/2535,rpp,7.62,2070.14
17/09/2535,rpp,5.99,2073.35
18/09/2535,rpp,4.48,2073.35
19/09/2535,rpp,7.76,2076.56
20/09/2535,rpp,3.35,2077.63
21/09/2535,rpp,8.83,2079.78
22/09/2535,rpp,7.71,2083.00
23/09/2535,rpp,6.88,2085.15
24/09/2535,rpp,7.70,2091.60
25/09/2535,rpp,11.98,2100.22
26/09/2535,rpp,7.07,2104.53
27/09/2535,rpp,7.90,2109.94
28/09/2535,rpp,12.63,2118.60
29/09/2535,rpp,9.00,2122.90
30/09/2535,rpp,9.09,2128.23
01/10/2535,rpp,12.66,2134.63
02/10/2535,rpp,7.66,2136.77
03/10/2535,rpp,7.11,2142.12
04/10/2535,rpp,10.78,2151.75
05/10/2535,rpp,12.59,2158.18
06/10/2535,rpp,13.64,2167.84
07/10/2535,rpp,9.64,2175.36
08/10/2535,rpp,8.47,2176.44
09/10/2535,rpp,8.84,2180.75
10/10/2535,rpp,8.53,2187.21
11/10/2535,rpp,8.42,2194.76
12/10/2535,rpp,8.68,2201.24
13/10/2535,rpp,10.24,2205.56
14/10/2535,rpp,9.79,2209.89
15/10/2535,rpp,5.38,2209.89
16/10/2535,rpp,7.13,2213.13
17/10/2535,rpp,6.81,2216.38
18/10/2535,rpp,7.10,2221.80
19/10/2535,rpp,5.06,2225.05
20/10/2535,rpp,10.27,2229.39
21/10/2535,rpp,8.96,2230.48
22/10/2535,rpp,7.36,2229.39
23/10/2535,rpp,5.13,2228.31
24/10/2535,rpp,5.27,2227.22
25/10/2535,rpp,5.77,2230.48
26/10/2535,rpp,6.52,2230.48
27/10/2535,rpp,11.08,2233.74
28/10/2535,rpp,9.70,2230.48
29/10/2535,rpp,7.70,2227.22
30/10/2535,rpp,6.20,2226.14
31/10/2535,rpp,5.57,2228.31
01/11/2535,rpp,6.44,2232.65
02/11/2535,rpp,7.62,2235.91
03/11/2535,rpp,7.55,2237.00
04/11/2535,rpp,6.93,2239.17
05/11/2535,rpp,6.31,2238.09
06/11/2535,rpp,5.00,2233.74
07/11/2535,rpp,6.45,2229.39
08/11/2535,rpp,2.93,2229.39
09/11/2535,rpp,4.99,2229.39
10/11/2535,rpp,5.53,2229.39
11/11/2535,rpp,4.77,2232.65
12/11/2535,rpp,3.46,2234.82
13/11/2535,rpp,2.81,2235.91
14/11/2535,rpp,3.85,2238.09
15/11/2535,rpp,4.78,2242.44
16/11/2535,rpp,6.71,2245.70
17/11/2535,rpp,5.89,2245.70
18/11/2535,rpp,4.75,2243.52
19/11/2535,rpp,5.03,2238.09
20/11/2535,rpp,4.54,2235.91
21/11/2535,rpp,2.74,2234.82
22/11/2535,rpp,2.38,2234.82
23/11/2535,rpp,2.92,2232.65
24/11/2535,rpp,2.66,2232.65
25/11/2535,rpp,2.75,2231.57
26/11/2535,rpp,2.15,2231.57
27/11/2535,rpp,1.78,2231.57
28/11/2535,rpp,1.81,2231.57
29/11/2535,rpp,1.57,2231.57
30/11/2535,rpp,1.54,2231.57
01/12/2535,rpp,2.40,2232.65
02/12/2535,rpp,0.41,2231.57
03/12/2535,rpp,2.78,2232.65
04/12/2535,rpp,1.14,2231.57
05/12/2535,rpp,1.52,2231.57
06/12/2535,rpp,1.90,2232.65
07/12/2535,rpp,2.11,2232.65
08/12/2535,rpp,1.57,2228.31
09/12/2535,rpp,2.94,2227.22
10/12/2535,rpp,1.37,2226.14
11/12/2535,rpp,3.47,2225.05
12/12/2535,rpp,1.92,2221.80
13/12/2535,rpp,2.46,2222.88
14/12/2535,rpp,1.22,2221.80
15/12/2535,rpp,1.96,2218.55
16/12/2535,rpp,2.40,2212.05
17/12/2535,rpp,4.24,2205.56
18/12/2535,rpp,2.34,2195.84
19/12/2535,rpp,1.14,2193.68
20/12/2535,rpp,1.92,2193.68
21/12/2535,rpp,2.59,2188.29
22/12/2535,rpp,3.81,2182.90
23/12/2535,rpp,2.44,2175.36
24/12/2535,rpp,3.53,2171.06
25/12/2535,rpp,0.36,2168.91
26/12/2535,rpp,0.45,2167.84
27/12/2535,rpp,1.62,2167.84
28/12/2535,rpp,3.19,2162.47
29/12/2535,rpp,2.35,2160.33
30/12/2535,rpp,0.24,2158.18
31/12/2535,rpp,0.98,2158.18
01/01/2536,rpp,1.06,2158.18
02/01/2536,rpp,1.09,2158.18
03/01/2536,rpp,0.00,2157.11
04/01/2536,rpp,1.82,2153.89
05/01/2536,rpp,2.07,2149.61
06/01/2536,rpp,3.09,2149.61
07/01/2536,rpp,0.47,2146.40
08/01/2536,rpp,0.80,2143.19
09/01/2536,rpp,1.31,2141.05
10/01/2536,rpp,1.17,2139.98
11/01/2536,rpp,1.60,2135.70
12/01/2536,rpp,2.54,2132.50
13/01/2536,rpp,1.51,2129.30
14/01/2536,rpp,1.45,2126.10
15/01/2536,rpp,1.22,2121.83
16/01/2536,rpp,1.30,2120.77
17/01/2536,rpp,1.73,2120.77
18/01/2536,rpp,3.98,2119.68
19/01/2536,rpp,1.79,2114.26
20/01/2536,rpp,1.79,2109.94
21/01/2536,rpp,0.80,2106.69
22/01/2536,rpp,2.70,2107.77
23/01/2536,rpp,1.54,2107.77
24/01/2536,rpp,1.11,2106.69
25/01/2536,rpp,2.07,2106.69
26/01/2536,rpp,0.14,2103.45
27/01/2536,rpp,1.66,2101.30
28/01/2536,rpp,0.60,2100.22
29/01/2536,rpp,1.08,2099.14
30/01/2536,rpp,1.68,2099.14
31/01/2536,rpp,0.73,2098.06
01/02/2536,rpp,0.24,2095.90
02/02/2536,rpp,0.00,2091.60
03/02/2536,rpp,0.52,2090.52
04/02/2536,rpp,0.69,2089.45
05/02/2536,rpp,0.85,2088.37
06/02/2536,rpp,1.45,2087.30
07/02/2536,rpp,1.12,2086.22
08/02/2536,rpp,0.94,2080.85
09/02/2536,rpp,2.41,2076.56
10/02/2536,rpp,1.76,2072.28
11/02/2536,rpp,2.17,2068.00
12/02/2536,rpp,4.17,2068.00
13/02/2536,rpp,0.00,2062.65
14/02/2536,rpp,1.64,2062.65
15/02/2536,rpp,3.05,2059.45
16/02/2536,rpp,0.00,2055.19
17/02/2536,rpp,0.31,2051.99
18/02/2536,rpp,0.25,2048.80
19/02/2536,rpp,1.26,2046.67
20/02/2536,rpp,3.66,2044.55
21/02/2536,rpp,2.21,2044.55
22/02/2536,rpp,3.26,2042.42
23/02/2536,rpp,0.00,2029.70
24/02/2536,rpp,3.22,2026.53
25/02/2536,rpp,2.62,2023.36
26/02/2536,rpp,2.44,2020.19
27/02/2536,rpp,0.72,2017.02
28/02/2536,rpp,0.53,2015.97
01/03/2536,rpp,1.70,2010.70
02/03/2536,rpp,0.44,2009.65
03/03/2536,rpp,1.87,2005.44
04/03/2536,rpp,1.47,2001.24
05/03/2536,rpp,0.80,1995.99
06/03/2536,rpp,4.87,1991.80
07/03/2536,rpp,1.06,1991.80
08/03/2536,rpp,0.86,1988.66
09/03/2536,rpp,0.63,1980.30
10/03/2536,rpp,0.54,1971.96
11/03/2536,rpp,2.33,1966.75
12/03/2536,rpp,4.68,1965.72
13/03/2536,rpp,2.49,1965.72
14/03/2536,rpp,2.90,1966.75
15/03/2536,rpp,2.47,1962.60
16/03/2536,rpp,3.30,1959.48
17/03/2536,rpp,3.56,1957.41
18/03/2536,rpp,3.36,1954.30
19/03/2536,rpp,2.19,1951.19
20/03/2536,rpp,3.74,1952.23
21/03/2536,rpp,1.53,1952.23
22/03/2536,rpp,1.24,1949.12
23/03/2536,rpp,2.51,1947.05
24/03/2536,rpp,1.13,1946.02
25/03/2536,rpp,0.73,1941.89
26/03/2536,rpp,3.19,1939.82
27/03/2536,rpp,0.98,1938.79
28/03/2536,rpp,1.82,1938.79
29/03/2536,rpp,0.12,1932.61
30/03/2536,rpp,1.67,1926.43
31/03/2536,rpp,0.40,1921.30
01/04/2536,rpp,4.08,1919.25
02/04/2536,rpp,4.18,1918.22
03/04/2536,rpp,3.07,1917.20
04/04/2536,rpp,0.65,1915.15
05/04/2536,rpp,2.04,1910.03
06/04/2536,rpp,0.61,1909.00
07/04/2536,rpp,2.72,1903.89
08/04/2536,rpp,1.13,1900.83
09/04/2536,rpp,1.50,1895.74
10/04/2536,rpp,2.24,1893.70
11/04/2536,rpp,3.23,1895.74
12/04/2536,rpp,1.05,1895.74
13/04/2536,rpp,0.67,1895.74
14/04/2536,rpp,2.57,1896.75
15/04/2536,rpp,2.65,1897.77
16/04/2536,rpp,3.36,1899.81
17/04/2536,rpp,0.63,1898.79
18/04/2536,rpp,2.53,1898.79
19/04/2536,rpp,4.54,1896.75
20/04/2536,rpp,3.35,1893.70
21/04/2536,rpp,3.28,1889.63
22/04/2536,rpp,1.97,1886.58
23/04/2536,rpp,1.56,1882.52
24/04/2536,rpp,0.23,1881.50
25/04/2536,rpp,3.13,1879.48
26/04/2536,rpp,1.62,1874.41
27/04/2536,rpp,2.70,1868.34
28/04/2536,rpp,1.04,1862.29
29/04/2536,rpp,1.76,1856.24
30/04/2536,rpp,2.54,1852.22
01/05/2536,rpp,0.34,1851.21
02/05/2536,rpp,1.74,1851.21
03/05/2536,rpp,1.39,1844.18
04/05/2536,rpp,2.54,1836.17
05/05/2536,rpp,1.25,1828.17
06/05/2536,rpp,2.98,1820.20
07/05/2536,rpp,1.68,1812.24
08/05/2536,rpp,2.09,1805.30
09/05/2536,rpp,2.00,1803.32
10/05/2536,rpp,1.81,1795.40
11/05/2536,rpp,1.75,1788.50
12/05/2536,rpp,2.66,1782.59
13/05/2536,rpp,2.78,1776.69
14/05/2536,rpp,3.26,1772.76
15/05/2536,rpp,4.00,1767.86
16/05/2536,rpp,1.30,1765.90
17/05/2536,rpp,2.63,1759.06
18/05/2536,rpp,2.34,1755.16
19/05/2536,rpp,2.16,1754.18
20/05/2536,rpp,2.41,1752.23
21/05/2536,rpp,3.64,1748.34
22/05/2536,rpp,3.45,1745.42
23/05/2536,rpp,2.41,1743.47
24/05/2536,rpp,3.73,1737.65
25/05/2536,rpp,2.46,1731.84
26/05/2536,rpp,3.11,1728.93
27/05/2536,rpp,5.63,1727.97
28/05/2536,rpp,0.06,1720.24
29/05/2536,rpp,1.41,1717.35
30/05/2536,rpp,1.06,1714.46
31/05/2536,rpp,1.54,1710.61
01/06/2536,rpp,2.13,1707.73
02/06/2536,rpp,2.63,1702.93
03/06/2536,rpp,4.00,1699.10
04/06/2536,rpp,2.49,1699.10
05/06/2536,rpp,2.15,1698.14
06/06/2536,rpp,1.59,1696.23
07/06/2536,rpp,3.47,1692.41
08/06/2536,rpp,2.71,1687.63
09/06/2536,rpp,2.74,1681.92
10/06/2536,rpp,2.91,1677.16
11/06/2536,rpp,4.66,1672.41
12/06/2536,rpp,1.96,1668.62
13/06/2536,rpp,2.21,1667.67
14/06/2536,rpp,1.65,1661.99
15/06/2536,rpp,2.51,1655.38
16/06/2536,rpp,1.27,1646.90
17/06/2536,rpp,3.15,1640.33
18/06/2536,rpp,4.80,1636.57
19/06/2536,rpp,2.10,1632.83
20/06/2536,rpp,0.01,1629.09
21/06/2536,rpp,2.10,1623.48
22/06/2536,rpp,2.53,1618.82
23/06/2536,rpp,2.82,1613.24
24/06/2536,rpp,2.28,1608.59
25/06/2536,rpp,1.74,1607.67
26/06/2536,rpp,1.53,1607.67
27/06/2536,rpp,7.10,1613.24
28/06/2536,rpp,9.26,1616.03
29/06/2536,rpp,12.28,1624.42
30/06/2536,rpp,7.77,1627.22
01/07/2536,rpp,8.53,1630.96
02/07/2536,rpp,5.68,1630.96
03/07/2536,rpp,3.11,1630.96
04/07/2536,rpp,1.98,1631.89
05/07/2536,rpp,2.25,1630.02
06/07/2536,rpp,5.16,1631.89
07/07/2536,rpp,4.02,1633.76
08/07/2536,rpp,5.77,1637.51
09/07/2536,rpp,3.50,1638.45
10/07/2536,rpp,2.25,1639.39
11/07/2536,rpp,2.68,1641.26
12/07/2536,rpp,3.58,1640.33
13/07/2536,rpp,2.42,1639.39
14/07/2536,rpp,3.30,1637.51
15/07/2536,rpp,5.03,1638.45
